State,Year,Region,County,Adult obesity,Physical inactivity,Access to exercise opportunities
KY,1/1/2014,South,Russell County,0.322,0.382,0.793
KY,1/1/2015,South,Russell County,0.316,0.371,0.763
KY,1/1/2014,South,Scott County,0.326,0.253,0.422
KY,1/1/2015,South,Scott County,0.315,0.22,0.633
KY,1/1/2014,South,Shelby County,0.33,0.271,0.497
KY,1/1/2015,South,Shelby County,0.318,0.318,0.745
KY,1/1/2014,South,Simpson County,0.304,0.351,0.304
KY,1/1/2015,South,Simpson County,0.297,0.344,0.779
KY,1/1/2014,South,Spencer County,0.339,0.308,0.202
KY,1/1/2015,South,Spencer County,0.286,0.283,0.681
KY,1/1/2014,South,Taylor County,0.319,0.276,0.258
KY,1/1/2015,South,Taylor County,0.346,0.314,0.767
KY,1/1/2014,South,Todd County,0.329,0.366,0.352
KY,1/1/2015,South,Todd County,0.342,0.35,0.376
KY,1/1/2014,South,Trigg County,0.334,0.347,0.299
KY,1/1/2015,South,Trigg County,0.294,0.305,0.62
KY,1/1/2014,South,Trimble County,0.352,0.317,0.069
KY,1/1/2015,South,Trimble County,0.333,0.312,0.541
KY,1/1/2014,South,Union County,0.363,0.335,0.548
KY,1/1/2015,South,Union County,0.342,0.301,0.566
KY,1/1/2014,South,Warren County,0.277,0.29,0.507
KY,1/1/2015,South,Warren County,0.289,0.277,0.594
KY,1/1/2014,South,Washington County,0.331,0.33,0.068
KY,1/1/2015,South,Washington County,0.328,0.348,0.209
KY,1/1/2014,South,Wayne County,0.315,0.404,0.418
KY,1/1/2015,South,Wayne County,0.309,0.358,0.604
KY,1/1/2014,South,Webster County,0.337,0.325,0.29
KY,1/1/2015,South,Webster County,0.328,0.311,0.017
KY,1/1/2014,South,Whitley County,0.358,0.343,0.63
KY,1/1/2015,South,Whitley County,0.342,0.345,0.813
KY,1/1/2014,South,Wolfe County,0.318,0.332,0.482
KY,1/1/2015,South,Wolfe County,0.33,0.329,0.353
KY,1/1/2014,South,Woodford County,0.316,0.268,0.172
KY,1/1/2015,South,Woodford County,0.309,0.309,0.663
AZ,1/1/2015,West,Apache County,0.319,0.223,0.223
AZ,1/1/2014,West,Cochise County,0.247,0.234,0.145
AZ,1/1/2015,West,Cochise County,0.236,0.214,0.746
AZ,1/1/2014,West,Coconino County,0.233,0.168,0.741
AZ,1/1/2015,West,Coconino County,0.24,0.159,0.817
AZ,1/1/2014,West,Gila County,0.263,0.259,0.723
AZ,1/1/2015,West,Gila County,0.271,0.252,0.818
AZ,1/1/2014,West,Graham County,0.339,0.259,0.13
